Date,Open,High,Low,Close,Volume,Adj Close
2015-08-03,92.40,92.40,87.465,87.465,617700,70.9617
2015-07-31,92.295,92.40,90.825,90.825,248800,73.6878
2015-07-30,91.35,93.345,91.035,91.56,497900,74.284
2015-07-29,91.665,92.1899,88.935,90.51,486100,73.4321
2015-07-28,89.88,93.555,89.25,91.245,948200,74.0285
2015-07-27,89.25,90.405,88.20,90.30,674100,73.2618
2015-07-24,88.935,90.72,87.675,89.9849,914000,73.0062
2015-07-23,91.455,91.77,85.5749,87.255,1631700,70.7914
2015-07-22,92.505,93.66,91.35,91.455,705800,74.1989
2015-07-21,94.50,95.025,91.35,93.975,1104200,76.2434
2015-07-20,102.585,103.005,93.135,94.29,1989300,76.4989
2015-07-17,103.845,104.685,102.06,102.375,482600,83.0584
2015-07-16,102.69,102.90,101.0099,102.27,560200,82.9732
2015-07-15,104.475,104.79,101.535,101.64,816100,82.4621
2015-07-14,102.90,106.575,101.955,102.90,1350800,83.4843
2015-07-13,105.00,105.00,98.8049,101.325,2410800,82.2066
2015-07-10,107.10,107.10,107.10,107.10,000,86.8919
2015-07-09,105.00,107.6249,101.115,107.10,1798800,86.8919
2015-07-08,116.0249,116.5497,105.525,109.20,1837900,88.5956
2015-07-07,120.2254,120.2254,113.9246,117.0745,1232800,94.9843
2015-07-06,121.275,122.3246,118.6499,118.6499,1072600,96.2625
2015-07-03,124.9496,124.9496,120.7502,122.8505,1168800,99.6705
2015-07-02,124.9496,128.0995,123.90,124.4248,2004500,100.9478
2015-07-01,118.6499,125.4755,118.6499,123.90,2183400,100.522
2015-06-30,117.0745,119.1747,116.0249,118.1252,812200,95.8368
2015-06-29,117.6004,119.1747,115.5001,116.5497,792900,94.5586
2015-06-26,117.0745,119.1747,116.0249,119.1747,523100,96.6883
2015-06-25,118.1252,119.6995,115.5001,116.5497,784600,94.5586
2015-06-24,118.6499,119.1747,116.5497,117.6004,491700,95.411
2015-06-23,116.5497,120.7502,116.5497,118.6499,1190500,96.2625
2015-06-22,117.6004,118.1252,114.4505,115.5001,680600,93.707
2015-06-19,117.0745,117.0745,117.0745,117.0745,000,94.9843
2015-06-18,116.5497,117.6004,115.5001,117.0745,467200,94.9843
2015-06-17,114.9753,116.5497,112.3503,116.0249,781300,94.1328
2015-06-16,117.6004,118.6499,113.3998,114.9753,923500,93.2813
2015-06-15,119.6995,121.7998,117.6004,118.1252,776600,95.8368
2015-06-12,123.3753,124.9496,118.1252,119.6995,1332100,97.1141
2015-06-11,126.0003,126.5251,121.7998,123.90,1142300,100.522
2015-06-10,121.7998,127.0499,120.2254,124.9496,1807800,101.3736
2015-06-09,122.8505,125.4755,118.6499,119.6995,1963100,97.1141
2015-06-08,118.6499,119.1747,116.0249,117.0745,521400,94.9843
2015-06-05,118.1252,119.1747,116.0249,118.6499,722500,96.2625
2015-06-04,120.2254,122.3246,115.5001,117.0745,1243900,94.9843
2015-06-03,116.5497,124.4248,116.0249,120.2254,1461500,97.5407
2015-06-02,118.1252,118.1252,114.9753,116.0249,725900,94.1328
2015-06-01,117.0745,117.6004,113.9246,117.0745,394500,94.9843
2015-05-29,117.0745,119.1747,115.5001,116.5497,498000,94.5586
2015-05-28,118.6499,120.2254,116.5497,116.5497,1032200,94.5586
2015-05-27,109.725,117.0745,109.725,117.0745,1622800,94.9843
2015-05-26,111.2996,111.8255,108.675,109.725,632500,89.0216
2015-05-25,111.2996,112.3503,109.725,111.2996,598400,90.2991
2015-05-22,112.3503,114.4505,111.2996,111.2996,619800,90.2991
2015-05-21,110.7748,113.3998,109.725,111.8255,721600,90.7257
2015-05-20,110.25,111.2996,109.20,110.7748,493500,89.8733
2015-05-19,108.15,111.8255,107.6249,109.725,1101400,89.0216
2015-05-18,108.15,109.725,103.425,109.725,1080300,89.0216
2015-05-15,112.875,112.875,107.10,107.10,812400,86.8919
